Region,"C05-Age as of Last Birthday","C07-Highest Grade Completed","C11 - Location of Work (Province, Municipality)","C15-Major Industry Group","New Employment Criteria (jul 05, 2005)"
03,42,61013,"    ","  ",3
03,55,24015,5401,92,1
03,27,60314,5401,82,1
03,24,60111,5401,85,1
03,20,60002,"    ","  ",3
03,45,60002,5416,84,1
03,38,60001,"    ","  ",3
03,18,35011,"    ","  ",3
03,13,24011,"    ","  "," "
03,37,60612,5401,82,1
03,32,60913,5401,82,1
03,07,10011,"    ","  "," "
03,03,"     ","    ","  "," "
03,35,60719,5401,17,1
03,34,24015,5401,82,1
03,09,10013,"    ","  "," "
03,05,01000,"    ","  "," "
03,69,10018,"    ","  ",3
03,36,24015,5401,82,1
03,54,60913,5401,86,1
03,30,24015,5401,82,1
03,26,24015,5401,82,1
03,23,24015,5401,82,1
03,41,24015,5401,49,1
03,43,60002,5401,82,1
03,24,35013,"    ","  ",3
03,14,24011,"    ","  "," "
03,24,61015,5401,92,1
03,18,35013,"    ","  ",3
03,63,10018,"    ","  ",3
03,46,50612,5401,80,1
03,34,50613,5401,31,1
03,34,60111,5401,85,1
03,34,60111,5401,79,1
03,29,50612,"    ","  ",3
03,19,60001,"    ","  ",3
03,16,24012,"    ","  ",3
03,48,24015,5401,47,1
03,04,"     ","    ","  "," "
03,49,24015,5401,14,1
03,28,24015,5401,82,1
03,40,60714,5401,47,1
03,39,50415,5401,68,1
03,17,35011,"    ","  ",3
03,12,10018,"    ","  "," "
03,47,24015,5401,47,1
03,21,60001,"    ","  ",3
03,29,24013,5401,56,1
03,04,"     ","    ","  "," "
03,02,"     ","    ","  "," "
03,33,24015,5401,47,1
03,37,24013,"    ","  ",3
03,32,24013,0804,01,1
03,07,10012,"    ","  "," "
03,01,"     ","    ","  "," "
03,39,24011,5401,95,1
03,38,40922,5401,47,1
03,17,35011,5401,47,1
03,16,24013,"    ","  ",3
03,11,10014,"    ","  "," "
03,00,"     ","    ","  "," "
03,41,24015,5409,14,1
03,40,24015,5401,56,1
03,18,34013,"    ","  ",3
03,16,24015,"    ","  ",3
03,15,24013,"    ","  ",3
03,30,10018,5401,81,1
03,28,24015,"    ","  ",3
03,09,10013,"    ","  "," "
03,02,"     ","    ","  "," "
03,35,24015,"    ","  ",3
03,26,24015,5401,80,1
03,00,"     ","    ","  "," "
03,11,10015,"    ","  "," "
03,05,00000,"    ","  "," "
03,37,10018,5401,41,1
03,39,24015,5401,96,1
03,17,24013,"    ","  ",3
03,17,24013,"    ","  ",3
03,14,24012,"    ","  "," "
03,10,10014,"    ","  "," "
03,07,10011,"    ","  "," "
03,64,24011,"    ","  ",3
03,53,24012,5401,41,1
03,64,24013,"    ","  ",3
03,29,61013,5401,55,1
03,26,50612,5401,82,1
03,32,24015,"    ","  ",3
03,33,24015,5401,92,1
03,07,02000,"    ","  "," "
03,48,50714,5401,56,1
03,42,24015,5401,14,1
03,20,34013,5401,47,1
03,18,34011,"    ","  ",3
03,16,24013,"    ","  ",3
03,65,24015,"    ","  ",3
03,34,24015,5401,84,1
03,36,24015,5409,47,1
03,08,10011,"    ","  "," "
03,29,61013,5401,56,1
03,29,61013,5401,82,1
03,07,02000,"    ","  "," "
03,03,"     ","    ","  "," "
03,62,00000,5401,96,1
03,24,00000,"    ","  ",3
03,21,60002,"    ","  ",3
03,30,60612,5409,82,1
03,30,60612,5409,82,1
03,05,00000,"    ","  "," "
03,04,"     ","    ","  "," "
03,00,"     ","    ","  "," "
03,70,24015,5401,49,1
03,10,10013,"    ","  "," "
03,33,60314,5401,80,1
03,32,24015,5401,96,1
03,46,24011,5401,96,1
03,53,24015,5401,80,1
03,40,60003,5401,47,1
03,35,60002,5401,47,1
03,13,10018,"    ","  "," "
03,11,10014,"    ","  "," "
03,40,60002,5401,64,1
03,34,60002,5401,56,1
03,04,"     ","    ","  "," "
03,13,24012,"    ","  "," "
03,12,24011,"    ","  "," "
03,70,24015,"    ","  ",3
03,69,24015,"    ","  ",3
03,74,24015,"    ","  ",3
03,74,24015,"    ","  ",3
03,48,24015,5401,41,1
03,43,24015,5401,49,1
03,38,24015,5401,47,1
03,13,24011,"    ","  "," "
03,53,60001,"    ","  ",3
03,53,24015,5401,11,1
03,22,60003,"    ","  ",3
03,09,10013,"    ","  "," "
03,72,24015,5401,96,1
03,76,24015,"    ","  ",3
03,53,60411,5401,82,1
03,51,24015,5401,56,1
03,49,24015,5401,56,1
03,39,60413,5401,56,1
03,42,60003,"    ","  ",3
03,06,02000,"    ","  "," "
03,18,34013,"    ","  ",3
03,56,24015,5401,47,1
03,43,24015,5416,47,1
03,24,60413,5416,56,1
03,20,34011,"    ","  ",2
03,16,34011,"    ","  ",3
03,54,24015,5401,95,1
03,54,60111,5401,85,1
03,35,24015,5401,47,1
03,34,24015,5401,49,1
03,32,24015,"    ","  "," "
03,18,24015,"    ","  ",3
03,05,01000,"    ","  "," "
03,02,"     ","    ","  "," "
03,74,24015,"    ","  ",3
03,65,60001,"    ","  ",3
03,40,60413,5401,82,1
03,34,24015,"    ","  ",2
03,48,24015,5401,49,1
03,46,60001,5401,14,1
03,23,60002,"    ","  ",2
03,21,60001,"    ","  ",2
03,12,24011,"    ","  "," "
03,90,24015,"    ","  ",3
03,54,60732,"    ","  "," "
03,56,60413,5401,49,1
03,89,24015,"    ","  ",3
03,76,60003,5406,01,1
03,55,60003,5401,52,1
03,47,60111,5401,66,1
03,18,35013,"    ","  ",3
03,27,60002,5416,10,1
03,27,60111,5401,82,1
03,68,24015,"    ","  ",3
03,68,60413,"    ","  ",3
03,32,10014,"    ","  ",3
03,43,50613,5401,53,1
03,43,50613,5401,47,1
03,21,35013,5401,82,1
03,17,24015,"    ","  ",3
03,44,60732,5401,41,1
03,46,60411,5401,47,1
03,14,24012,"    ","  "," "
03,10,10013,"    ","  "," "
03,20,24015,"    ","  ",2
03,71,60411,5416,31,1
03,69,60413,"    ","  ",3
03,39,60612,5416,31,1
03,38,60911,5401,86,1
03,11,10014,"    ","  "," "
03,04,"     ","    ","  "," "
03,03,"     ","    ","  "," "
03,71,70413,3905,42,1
03,65,60413,"    ","  ",3
03,40,60912,5416,86,1
03,57,60913,5416,86,1
03,26,70313,5401,82,1
03,43,70313,5416,86,1
03,37,60413,5401,64,1
03,42,10018,5401,41,1
03,41,24015,"    ","  ",3
03,17,34011,"    ","  ",3
03,12,10015,"    ","  "," "
03,61,24015,"    ","  ",3
03,36,60731,5401,71,1
03,36,60731,5401,41,1
03,05,01000,"    ","  "," "
03,04,"     ","    ","  "," "
03,85,24015,"    ","  ",3
03,63,60411,"    ","  ",3
03,33,60002,"    ","  "," "
03,28,24015,"    ","  "," "
03,67,24015,5401,47,1
03,51,60413,7403,78,1
03,46,50915,7114,68,1
03,21,60511,"    ","  ",2
03,59,24015,5401,47,1
03,49,24015,5401,47,1
03,32,61013,"    ","  "," "
03,30,60612,5401,47,1
03,29,24015,5401,96,1
03,27,60413,5401,96,1
03,08,10012,"    ","  "," "
03,83,60111,5401,84,1
03,57,60911,5401,86,1
03,62,60713,5401,41,1
03,18,24015,"    ","  ",3
03,13,10015,"    ","  "," "
03,34,10018,5401,52,1
03,41,24015,5401,64,1
03,53,24015,"    ","  ",3
03,53,24015,"    ","  "," "
03,22,60321,5409,68,1
03,20,60002,"    ","  ",3
03,13,10018,"    ","  "," "
03,09,10012,"    ","  "," "
03,60,24015,5401,55,1
03,51,24015,5401,55,1
03,27,60001,5401,74,1
03,24,60001,5401,47,1
03,14,24011,"    ","  "," "
03,37,60003,5409,82,1
03,35,24015,"    ","  ",3
03,13,10018,"    ","  "," "
03,10,10013,"    ","  "," "
03,07,02000,"    ","  "," "
03,62,60413,5401,47,1
03,63,24015,"    ","  ",3
03,48,60111,5401,47,1
03,60,60413,"    ","  ",3
03,23,50716,5409,52,1
03,20,60002,"    ","  ",3
03,43,24012,5401,49,1
03,38,24015,"    ","  ",3
03,22,34013,5401,56,1
03,05,00000,"    ","  "," "
03,86,24015,"    ","  ",3
03,76,24015,"    ","  ",3
03,57,24015,7107,49,1
03,53,24015,"    ","  ",3
03,20,34013,7107,47,1
03,22,60001,"    ","  ",3
03,71,10012,"    ","  ",3
03,71,10011,"    ","  ",3
03,48,24015,7107,45,1
03,16,24015,"    ","  ",3
03,47,24015,"    ","  ",3
03,45,24015,7107,15,1
03,64,24015,7107,49,1
03,58,24015,"    ","  ",3
03,34,60003,7107,53,1
03,15,24012,"    ","  ",3
03,16,24013,"    ","  ",3
03,32,24015,7107,56,1
03,32,60001,7107,56,1
03,27,35011,"    ","  ",3
03,34,24015,"    ","  ",3
03,40,24015,"    ","  ",3
03,60,60488,"    ","  ",3
03,53,24013,7107,55,1
03,50,50415,7107,92,1
03,19,34013,"    ","  ",3
03,08,10011,"    ","  "," "
03,28,24015,7107,41,1
03,28,24015,7107,47,1
03,09,10012,"    ","  "," "
03,78,24015,"    ","  ",3
03,28,24012,7107,41,1
03,23,35013,"    ","  ",3
03,01,"     ","    ","  "," "
03,56,24012,7107,56,1
03,29,24015,7107,53,1
03,06,00000,"    ","  "," "
03,58,24015,"    ","  ",3
03,31,24015,7107,47,1
03,30,24015,7107,47,1
03,11,10014,"    ","  "," "
03,09,10012,"    ","  "," "
03,42,24011,7107,03,1
03,33,40917,7107,96,1
03,14,10018,"    ","  "," "
03,12,10015,"    ","  "," "
03,11,10014,"    ","  "," "
03,06,00000,"    ","  "," "
03,03,"     ","    ","  "," "
03,43,10018,7107,41,1
03,39,24015,7107,92,1
03,68,10015,"    ","  ",3
03,26,24015,7107,25,1
03,62,24011,7107,47,1
03,22,35013,7107,55,1
03,39,24015,7107,95,1
03,45,24015,7107,47,1
03,10,10014,"    ","  "," "
03,07,02000,"    ","  "," "
03,73,10014,"    ","  ",3
03,76,10018,"    ","  ",3
03,21,34013,"    ","  ",3
03,40,24015,7107,95,1
03,40,24015,"    ","  ",3
03,21,34013,7107,47,1
03,12,10015,"    ","  "," "
03,10,10013,"    ","  "," "
03,23,61032,7107,86,1
03,22,34013,7107,26,1
03,02,"     ","    ","  "," "
03,58,10018,"    ","  ",3
03,52,10013,7107,47,1
03,19,34011,7107,47,1
03,09,10013,"    ","  "," "
03,24,35013,"    ","  ",3
03,25,60002,7107,56,1
03,03,"     ","    ","  "," "
03,59,10018,"    ","  ",2
03,60,10018,7107,96,1
03,52,24015,7107,41,1
03,50,24015,"    ","  ",3
03,23,60111,7107,53,1
03,17,34011,"    ","  ",3
03,28,61013,7404,56,1
03,26,61013,7107,56,1
03,54,60002,"    ","  "," "
03,29,24015,7107,45,1
03,28,60002,7107,47,1
03,08,02000,"    ","  "," "
03,07,02000,"    ","  "," "
03,01,"     ","    ","  "," "
03,40,24015,7107,49,1
03,42,24015,"    ","  ",3
03,19,35013,7107,11,1
03,12,10015,"    ","  "," "
03,04,"     ","    ","  "," "
03,01,"     ","    ","  "," "
03,05,00000,"    ","  "," "
03,45,24015,7107,41,1
03,40,24015,7107,96,1
03,21,24015,7112,41,1
03,10,10013,"    ","  "," "
03,04,"     ","    ","  "," "
03,31,24015,7107,25,1
03,31,24015,0810,56,1
03,09,10012,"    ","  "," "
03,07,10011,"    ","  "," "
03,72,10018,7107,41,1
03,76,10012,"    ","  ",3
03,48,24013,"    ","  ",3
03,19,35013,7107,15,1
03,18,35013,"    ","  ",2
03,13,24011,"    ","  "," "
03,41,24015,"    ","  ",3
03,36,24015,7107,15,1
03,03,"     ","    ","  "," "
03,13,24011,"    ","  "," "
03,47,24015,"    ","  "," "
03,34,24015,7107,49,1
03,28,24013,"    ","  ",3
03,08,10012,"    ","  "," "
03,05,00000,"    ","  "," "
03,03,"     ","    ","  "," "
03,38,40729,7107,85,1
03,34,60612,"    ","  ",3
03,11,10015,"    ","  "," "
03,06,02000,"    ","  "," "
03,42,60111,7107,82,1
03,36,60002,7107,47,1
03,53,24015,"    ","  ",3
03,31,24015,7107,90,1
03,06,00000,"    ","  "," "
03,42,24015,7107,90,1
03,80,60111,"    ","  ",3
03,76,60111,"    ","  ",3
03,70,24015,"    ","  ",3
03,30,60313,7107,85,1
03,17,24015,"    ","  ",3
03,41,60714,7107,84,1
03,41,60714,"    ","  ",3
03,19,60001,"    ","  ",3
03,30,24015,"    ","  ",2
03,23,34013,7107,26,1
03,60,60811,"    ","  ",3
03,60,24015,"    ","  ",3
03,27,61013,"    ","  ",2
03,25,60488,7107,35,1
03,26,60003,"    ","  ",2
03,23,60313,7107,82,1
03,21,60003,"    ","  ",3
03,07,02000,"    ","  "," "
03,58,60732,"    ","  ",3
03,55,24015,"    ","  ",3
03,26,60313,7107,82,1
03,21,60002,"    ","  ",3
03,79,24012,"    ","  ",3
03,54,60488,"    ","  ",3
03,36,60612,"    ","  ",3
03,25,24015,7103,84,1
03,35,60002,7107,26,1
03,18,34011,"    ","  ",3
03,16,24015,"    ","  ",3
03,49,24015,7107,01,1
03,46,24015,7107,01,1
03,12,10018,"    ","  "," "
03,09,10012,"    ","  "," "
03,21,34013,7107,26,1
03,32,60002,7107,63,1
03,23,60001,7107,47,1
03,12,10015,"    ","  "," "
03,08,10011,"    ","  "," "
03,46,10012,7107,49,1
03,41,24015,7107,96,1
03,15,24013,"    ","  ",3
03,12,10015,"    ","  "," "
03,79,24012,7107,56,1
03,55,24011,7107,56,1
03,34,60001,7107,26,1
03,76,10013,7107,56,1
03,62,10018,7107,56,1
03,85,10015,7107,47,1
03,43,60003,7107,47,1
03,26,60612,7605,62,1
03,35,24015,7107,47,1
03,03,"     ","    ","  "," "
03,52,24015,7107,18,1
03,64,60002,7107,18,1
03,13,24011,"    ","  "," "
03,41,24015,7107,47,1
03,09,10013,"    ","  "," "
03,45,24015,7107,47,1
03,45,24015,7107,47,1
03,17,24015,"    ","  ",3
03,56,24015,7107,41,1
03,58,24015,7107,86,1
03,56,50415,7107,86,1
03,28,60923,7107,86,1
03,26,60913,7107,86,1
03,88,10014,"    ","  ",3
03,53,24015,7107,80,1
03,39,24015,7107,11,1
03,15,24013,"    ","  ",3
03,56,24015,7107,49,1
03,58,24015,7107,47,1
03,28,60314,7107,80,1
03,14,24012,7107,47," "
03,66,10015,7107,56,1
03,62,10018,7107,56,1
03,33,24015,7107,56,1
03,13,24011,"    ","  "," "
03,58,10018,"    ","  ",3
03,20,60001,"    ","  ",3
03,51,00000,"    ","  ",3
03,54,24015,7107,49,1
03,40,24015,"    ","  ",3
03,17,24015,"    ","  ",3
03,17,24015,"    ","  ",3
03,55,24015,7107,47,1
03,51,24015,7107,96,1
03,36,24015,7107,01,1
03,31,24015,"    ","  ",3
03,12,10018,"    ","  "," "
03,09,10013,"    ","  "," "
03,05,00000,"    ","  "," "
03,04,"     ","    ","  "," "
03,72,10014,"    ","  ",3
03,13,24011,"    ","  "," "
03,36,24015,7107,47,1
03,31,60002,7107,47,1
03,11,10013,"    ","  "," "
03,03,"     ","    ","  "," "
03,48,10012,7107,46,1
03,65,10018,7107,49,1
03,58,10011,"    ","  ",3
03,34,24015,7107,26,1
03,11,10015,"    ","  "," "
03,09,10013,"    ","  "," "
03,08,10011,"    ","  "," "
03,73,24015,7107,47,1
03,27,24015,7107,53,1
03,35,24015,"    ","  ",2
03,42,24015,7107,96,1
03,22,60001,"    ","  ",3
03,57,24015,7107,49,1
03,43,60002,"    ","  ",3
03,23,60001,"    ","  ",3
03,15,24013,"    ","  ",3
03,12,10015,"    ","  "," "
03,63,60003,7107,47,1
03,62,24015,7107,47,1
03,30,24015,7107,15,1
03,45,24015,7107,41,1
03,38,24015,"    ","  ",3
03,18,34011,"    ","  ",3
03,16,24013,"    ","  ",3
03,14,24011,"    ","  "," "
03,10,10014,"    ","  "," "
03,09,10012,"    ","  "," "
03,22,35013,7605,47,1
03,03,"     ","    ","  "," "
03,00,"     ","    ","  "," "
03,20,34013,7605,47,1
03,01,"     ","    ","  "," "
03,52,24015,0807,45,1
03,35,24012,"    ","  ",3
03,13,10018,"    ","  "," "
03,09,10012,"    ","  "," "
03,06,00000,"    ","  "," "
03,04,"     ","    ","  "," "
03,02,"     ","    ","  "," "
03,73,10018,7107,01,1
03,66,10018,7107,47,1
03,24,35013,7107,96,1
03,27,24012,7107,96,1
03,47,24015,7107,52,1
03,38,10014,"    ","  ",3
03,18,34011,"    ","  ",3
03,09,10013,"    ","  "," "
03,05,00000,"    ","  "," "
03,19,24011,0804,41,1
03,20,35013,7107,47,1
03,59,24015,7107,41,1
03,57,24015,7107,47,1
03,18,34011,7107,47,1
03,13,24011,"    ","  "," "
03,58,40917,7107,96,1
03,23,34013,7107,56,1
03,05,00000,"    ","  "," "
03,08,10012,"    ","  "," "
03,07,10011,"    ","  "," "
03,38,50415,"    ","  ",2
03,12,10015,"    ","  "," "
03,11,10014,"    ","  "," "
03,01,"     ","    ","  "," "
03,40,40922,7107,47,1
03,19,34013,"    ","  ",3
03,14,24012,"    ","  "," "
03,12,10015,"    ","  "," "
03,00,"     ","    ","  "," "
03,37,24015,"    ","  "," "
03,59,24015,"    ","  "," "
03,48,24015,7107,49,1
03,47,24015,7107,84,1
03,17,34011,"    ","  ",3
03,14,24012,"    ","  "," "
03,41,60003,7107,47,1
03,74,10012,"    ","  ",3
03,70,24015,7107,47,1
03,36,60488,7107,84,1
03,28,60488,"    ","  ",2
03,68,10018,"    ","  ",3
03,65,24015,"    ","  ",3
03,28,60612,0808,61,1
03,42,24015,7107,45,1
03,43,60002,"    ","  ",2
03,20,24015,"    ","  ",3
03,19,10015,"    ","  ",3
03,15,10018,"    ","  ",3
03,14,10015,"    ","  "," "
03,11,10012,"    ","  "," "
03,64,24015,"    ","  ",3
03,63,24013,"    ","  ",3
03,27,24015,7107,26,1
03,23,24015,7107,96,1
03,04,"     ","    ","  "," "
03,61,40713,"    ","  ",3
03,33,60001,7107,56,1
03,27,60488,7107,69,1
03,46,24012,7107,56,1
03,17,24015,"    ","  ",3
03,14,24011,"    ","  "," "
03,32,24015,7107,64,1
03,29,24015,"    ","  ",3
03,08,10011,"    ","  "," "
03,04,"     ","    ","  "," "
03,38,24015,7107,55,1
03,42,24013,"    ","  ",3
03,04,"     ","    ","  "," "
03,50,10014,7107,43,1
03,35,24015,7107,26,1
03,32,24015,7107,26,1
03,32,24015,7107,13,1
03,09,02000,"    ","  "," "
03,03,"     ","    ","  "," "
03,28,24015,7107,43,1
03,25,24015,"    ","  ",3
03,00,"     ","    ","  "," "
03,15,24013,"    ","  ",3
03,46,24015,7109,41,1
03,40,60111,"    ","  ",3
03,13,10015,"    ","  "," "
03,02,"     ","    ","  "," "
03,44,24015,7107,96,1
03,18,34013,"    ","  ",3
03,15,24012,"    ","  ",3
03,12,10018,"    ","  "," "
03,29,60611,7107,63,1
03,28,60488,"    ","  ",3
03,03,"     ","    ","  "," "
03,21,34013,"    ","  ",3
03,55,24015,"    ","  ",3
03,31,60488,7107,53,1
03,30,24015,7107,13,1
03,05,00000,"    ","  "," "
03,01,"     ","    ","  "," "
03,11,10014,"    ","  "," "
03,10,10013,"    ","  "," "
03,08,10011,"    ","  "," "
03,41,60488,"    ","  ",3
03,21,60003,"    ","  ",3
03,17,34011,"    ","  ",3
03,42,60613,"    ","  "," "
03,50,24015,7107,96,1
03,63,10018,7107,96,1
03,24,24012,7107,96,1
03,27,60001,7107,47,1
03,42,24015,7107,96,1
03,39,24015,7107,80,1
03,36,60411,"    ","  ",3
03,08,10011,"    ","  "," "
03,04,"     ","    ","  "," "
03,01,"     ","    ","  "," "
03,40,24015,"    ","  ",2
03,75,60411,"    ","  ",3
03,75,50415,"    ","  ",3
03,52,24015,7107,41,1
03,51,60413,"    ","  ",3
03,25,60612,7107,82,1
03,36,60715,7107,63,1
03,33,60413,"    ","  ",3
03,07,02000,"    ","  "," "
03,00,"     ","    ","  "," "
03,51,40613,7107,47,1
03,36,24015,7107,47,1
03,08,10011,"    ","  "," "
03,04,"     ","    ","  "," "
03,67,24015,"    ","  ",3
04,65,24015,"    ","  ",3
04,62,24012,1005,47,1
04,47,60002,1005,96,1
04,37,24015,6916,41,1
04,35,24015,"    ","  ",3
04,08,10012,"    ","  "," "
04,06,02000,"    ","  "," "
04,02,"     ","    ","  "," "
04,44,24013,1005,47,1
04,32,10012,"    ","  ",3
04,02,"     ","    ","  "," "
04,16,24015,"    ","  ",3
04,31,24015,1005,41,1
04,29,24015,"    ","  ",3
04,03,"     ","    ","  "," "
04,01,"     ","    ","  "," "
04,59,24015,"    ","  ",3
04,60,60002,1005,84,1
04,32,50612,1005,47,1
04,28,50415,1005,47,1
04,24,60411,7602,47,1
04,57,10013,1005,56,1
04,57,24015,1005,56,1
04,24,24015,1005,41,1
04,19,35013,1005,24,1
04,60,24015,1005,65,1
04,63,60412,"    ","  ",3
04,23,60612,"    ","  ",3
04,58,24015,"    ","  ",3
04,37,24015,1006,24,1
04,29,60419,"    ","  ",3
04,02,"     ","    ","  "," "
04,00,"     ","    ","  "," "
04,24,24013,1005,55,1
04,06,00000,"    ","  "," "
04,05,00000,"    ","  "," "
04,25,10018,1005,01,1
04,17,24015,"    ","  ",3
04,72,24015,"    ","  ",3
04,69,24015,1005,84,1
04,31,24015,"    ","  ",2
04,33,24015,1005,47,1
04,27,24015,1005,47,1
04,28,60612,"    ","  ",3
04,05,00000,"    ","  "," "
04,78,10018,"    ","  ",3
04,73,10018,"    ","  ",3
04,42,50714,3404,82,1
04,16,24015,"    ","  ",3
04,14,24011,"    ","  "," "
04,03,"     ","    ","  "," "
04,67,24015,1014,47,1
04,58,24015,1014,47,1
04,35,60732,1017,26,1
04,33,60314,7605,84,1
04,28,60111,1014,84,1
04,00,"     ","    ","  "," "
04,31,60716,5416,84,1
04,31,60111,1014,84,1
04,00,"     ","    ","  "," "
04,48,24015,"    ","  ",3
04,49,60002,1014,28,1
04,12,10015,"    ","  "," "
04,10,10014,"    ","  "," "
04,67,24015,"    ","  ",3
04,58,10018,"    ","  ",3
04,28,60111,1014,85,1
04,63,10018,1014,14,1
04,34,50612,1014,47,1
04,49,24015,1014,49,1
04,50,60411,1014,69,1
04,83,10018,"    ","  ",3
04,46,60003,"    ","  ",3
04,22,60002,"    ","  ",3
04,70,10015,7401,41,1
04,46,24015,3902,47,1
04,52,60411,3910,56,1
04,20,60001,"    ","  ",3
04,78,10018,"    ","  ",3
04,56,10018,1014,47,1
04,47,10014,1014,96,1
04,47,10012,1014,96,1
04,26,50714,1014,56,1
04,24,60413,1017,82,1
04,23,60413,1014,86,1
04,16,24011,"    ","  ",3
04,14,24011,"    ","  "," "
04,75,10018,"    ","  ",3
04,53,60002,1014,47,1
04,52,60003,1014,47,1
04,24,60413,1014,47,1
04,37,24015,1014,47,1
04,34,24015,"    ","  ",3
04,03,"     ","    ","  "," "
04,56,10015,1014,41,1
04,61,10018,"    ","  ",3
04,22,10015,1014,41,1
04,20,24012,1014,41,1
04,35,51013,1014,96,1
04,08,10012,"    ","  "," "
04,05,00000,"    ","  "," "
04,71,60002,"    ","  ",3
04,47,50921,1014,68,1
04,20,34013,1014,82,1
04,18,34013,"    ","  ",3
04,67,24012,"    ","  ",3
04,63,24015,"    ","  ",3
04,28,60713,2108,33,1
04,27,60732,1028,30,1
04,01,"     ","    ","  "," "
04,77,10013,"    ","  ",3
04,36,50921,1014,56,1
04,13,24011,"    ","  "," "
04,18,24015,"    ","  ",3
04,35,24015,1014,14,1
04,36,24015,1014,14,1
04,44,24015,1014,80,1
04,40,24013,1014,14,1
04,19,34011,"    ","  ",3
04,17,35011,"    ","  ",3
04,47,50716,"    ","  ",3
04,46,60411,7405,27,1
04,22,60003,"    ","  ",3
04,18,35011,"    ","  ",3
04,42,24015,"    ","  ",3
04,43,60413,"    ","  "," "
04,16,24015,"    ","  ",3
04,05,00000,"    ","  "," "
04,38,50714,1014,26,1
04,34,60913,1014,86,1
04,09,10013,"    ","  "," "
04,01,"     ","    ","  "," "
04,45,24015,1014,41,1
04,42,24015,1014,47,1
04,15,24012,1014,47,1
04,12,10018,"    ","  "," "
04,10,10014,"    ","  "," "
04,67,10013,"    ","  ",3
04,32,60002,5607,01,1
04,32,60111,1014,47,1
04,09,10012,"    ","  "," "
04,59,24015,1014,49,1
04,57,10018,1014,47,1
04,72,50811,"    ","  ",3
04,64,50415,1014,47,1
04,32,50716,1014,26,1
04,29,60111,1014,85,1
04,29,10012,1014,41,1
04,27,24012,1014,47,1
04,08,10012,"    ","  "," "
04,07,02000,"    ","  "," "
04,05,00000,"    ","  "," "
04,28,10018,"    ","  ",3
04,24,24015,1014,56,1
04,07,02000,"    ","  "," "
04,03,"     ","    ","  "," "
04,00,"     ","    ","  "," "
04,53,60313,1014,96,1
04,48,60002,"    ","  "," "
04,10,10014,"    ","  "," "
04,72,10018,1014,01,1
04,66,10018,"    ","  ",3
04,42,24012,1014,49,1
04,44,24015,"    ","  "," "
04,19,60002,"    ","  ",2
04,18,34011,"    ","  ",3
04,15,24012,"    ","  ",3
04,60,24013,1014,56,1
04,37,60001,7607,82,1
04,40,60001,1014,82,1
04,19,60001,1014,56,1
04,17,24015,"    ","  ",3
04,08,10012,"    ","  "," "
04,65,24015,"    ","  ",3
04,55,24015,"    ","  ",3
04,24,60111,1031,85,1
04,30,60111,1022,85,1
04,10,10014,"    ","  "," "
04,80,10012,"    ","  ",3
04,43,24015,1014,33,1
04,22,60313,1022,14,1
04,19,34013,"    ","  ",3
04,10,10014,"    ","  "," "
04,71,24012,"    ","  ",3
04,49,24013,"    ","  ",3
04,42,24013,1014,41,1
04,20,34013,"    ","  ",3
04,14,24011,"    ","  "," "
04,11,10015,"    ","  "," "
04,07,02000,"    ","  "," "
04,58,10018,1020,41,1
04,61,10011,"    ","  ",3
04,27,24015,1014,26,1
04,24,34013,"    ","  ",3
04,03,"     ","    ","  "," "
04,00,"     ","    ","  "," "
04,64,10014,"    ","  ",3
04,66,10018,"    ","  ",3
04,43,24015,1014,47,1
04,11,10013,"    ","  "," "
04,09,10012,"    ","  "," "
04,37,60612,1031,85,1
04,36,60714,"    ","  ",3
04,12,10015,"    ","  "," "
04,09,10013,"    ","  "," "
04,01,"     ","    ","  "," "
04,62,51041,1031,47,1
04,33,60716,1031,47,1
04,40,50715,1028,46,1
04,41,24015,1017,26,1
04,19,60001,"    ","  ",3
04,35,10011,1031,96,1
04,28,10018,1031,41,1
04,14,24011,"    ","  "," "
04,10,10013,"    ","  "," "
04,70,60715,"    ","  ",3
04,70,24015,"    ","  ",3
04,26,60111,3425,85,1
04,37,60913,1011,84,1
04,35,60913,"    ","  ",3
04,04,"     ","    ","  "," "
04,02,"     ","    ","  "," "
04,59,10018,"    ","  ",2
04,59,24015,1031,84,1
04,30,24015,1031,01,1
04,24,60111,1017,64,1
04,21,60003,"    ","  ",3
04,20,50716,"    ","  ",3
04,17,34011,"    ","  ",3
04,15,24013,"    ","  ",3
04,28,50914,1031,01,1
04,26,24015,1031,90,1
04,07,02000,"    ","  "," "
04,03,"     ","    ","  "," "
04,71,10018,"    ","  ",3
04,57,24015,1031,41,1
04,58,24015,"    ","  ",3
04,31,60413,1031,53,1
04,27,60411,3405,82,1
04,36,24015,1031,49,1
04,35,50714,"    ","  ",3
04,01,"     ","    ","  "," "
04,62,24015,1031,01,1
04,62,10018,"    ","  ",3
04,61,24015,"    ","  ",3
04,64,24013,"    ","  ",3
04,29,60413,1028,69,1
04,33,24015,1028,27,1
04,31,24015,"    ","  ",3
04,13,10018,"    ","  "," "
04,72,10018,"    ","  ",3
04,67,24015,"    ","  ",3
04,55,10018,1031,01,1
04,45,24015,"    ","  ",3
04,50,50714,1031,84,1
04,46,60613,1031,96,1
04,21,60002,"    ","  ",3
04,74,10014,1031,01,1
04,68,10018,"    ","  ",3
04,57,10013,1031,01,1
04,57,10018,"    ","  ",3
04,14,24012,"    ","  "," "
